loc_latitude,loc_longitude,loc_address,loc_road,travel_direction,loc_description,intersection_next_latitude,intersection_next_longitude,intersection_next_name,intersection_next_localname,intersection_next_junction_no,intersection_prev_latitude,intersection_prev_longitude,intersection_prev_name,intersection_prev_localname,intersection_prev_junction_no,Bearing
30.712066,76.780914,"front of GMCH, 160047, Dakshin Marg, Sector 30, Chandigarh, 160030",Dakshin Marg,NW,Between Iron Chowk and Gurudwara Chowk,30.714709,76.778501,"Gurudwara Chowk, 32A, Sector 33, Chandigarh, 160047",Gurudwara Chowk,36,30.709087,76.783804,"32 Medical Chowk, Sector 31 A, Sector 31, Chandigarh, 160030",Iron Chowk,37,315
30.712106,76.781047,"front of GMCH, 160047, Dakshin Marg, Sector 30, Chandigarh, 160030",Dakshin Marg,SE,Between Gurudwara Chowk and Iron Chowk,30.709087,76.783804,"32 Medical Chowk, Sector 31 A, Sector 31, Chandigarh, 160030",Iron Chowk,37,30.714709,76.778501,"Gurudwara Chowk, 32A, Sector 33, Chandigarh, 160047",Gurudwara Chowk,36,135
30.717902,76.77559,"Dakshin Marg, 33A, Sector 33, Chandigarh, 160047",Dakshin Marg,NW,Between Gurudwara Chowk and Labour Chowk,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,30.714709,76.778501,"Gurudwara Chowk, 32A, Sector 33, Chandigarh, 160047",Gurudwara Chowk,36,315
30.717986,76.775683,"Dakshin Marg, 33A, Sector 33, Chandigarh, 160047",Dakshin Marg,SE,Between Labour Chowk and Gurudwara Chowk,30.714709,76.778501,"Gurudwara Chowk, 32A, Sector 33, Chandigarh, 160047",Gurudwara Chowk,36,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,135
30.723424,76.77077,"Air India Building SCO:162-164, Top Floor, Dakshin Marg, Sector 34A, Chandigarh, 160022",Dakshin Marg,NW,Between Labour Chowk and Piccadily Chowk,30.726308,76.768379,"Sector 22C, Sector 22, Chandigarh, 160022",Piccadily Chowk,34,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,315
30.723474,76.770885,"Air India Building SCO:162-164, Top Floor, Dakshin Marg, Sector 34A, Chandigarh, 160022",Dakshin Marg,SE,Between Piccadily Chowk and Labour Chowk,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,30.726308,76.768379,"Sector 22C, Sector 22, Chandigarh, 160022",Piccadily Chowk,34,135
30.71868,76.770425,"259-188, Sarovar Path, 33A, Sector 33, Chandigarh, 160022",Sarovar Path,NE,Between 33/34 LP and Labour Chowk,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,30.717003,76.767773,"Sarovar Path, Sub. City Center, Sector 34B, Sector 33, Chandigarh, 160022",33/34 LP,35-50,45
30.72215,76.776177,"Sarovar Path, Sector 20D, Sector 20, Chandigarh, 160022",Sarovar Path,SW,Between 20/21 LP and Labour Chowk,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,30.723948,76.77898,"Sarovar Path, Sector 21C, Sector 20, Chandigarh, 160022",20/21 LP,28-35,225
30.718579,76.770479,"259-188, Sarovar Path, 33A, Sector 33, Chandigarh, 160022",Sarovar Path,SW,Between Labour Chowk and 33/34 LP,30.717003,76.767773,"Sarovar Path, Sub. City Center, Sector 34B, Sector 33, Chandigarh, 160022",33/34 LP,35-50,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,225
30.722218,76.776111,"Sarovar Path, Sector 20D, Sector 20, Chandigarh, 160022",Sarovar Path,NE,Between Labour Chowk and 20/21 LP,30.723948,76.77898,"Sarovar Path, Sector 21C, Sector 20, Chandigarh, 160022",20/21 LP,28-35,30.720542,76.773433,"PQCF+59W, Sector 34B, Sector 34, Chandigarh, 160022",Labour Chowk,35,45
